,accuracy,auroc,f1,sensitivity,specificity,youden_index,optimal_threshold,fpr,tpr,best_epoch,train_loss
Spat41,0.4,0.6203007518796992,0.34146341463414637,1.0,0.2894736842105263,0.2894736842105263,0.2573807,"[0.0, 0.02631578947368421, 0.02631578947368421, 0.07894736842105263, 0.07894736842105263, 0.18421052631578946, 0.18421052631578946, 0.4473684210526316, 0.4473684210526316, 0.5, 0.5, 0.7105263157894737, 0.7105263157894737, 1.0]","[0.0, 0.0, 0.14285714285714285, 0.14285714285714285, 0.2857142857142857, 0.2857142857142857, 0.42857142857142855, 0.42857142857142855, 0.5714285714285714, 0.5714285714285714, 0.7142857142857143, 0.7142857142857143, 1.0, 1.0]",6,0.6256348959215001
Spat37,0.12,0.125,0.08333333333333333,1.0,0.08333333333333337,0.08333333333333337,0.7989874,"[0.0, 0.020833333333333332, 0.8333333333333334, 0.8333333333333334, 0.9166666666666666, 0.9166666666666666, 1.0]","[0.0, 0.0, 0.0, 0.5, 0.5, 1.0, 1.0]",6,0.6280838835276937
Spat52,0.48148148148148145,0.5469387755102041,0.2631578947368421,1.0,0.4285714285714286,0.4285714285714286,0.47836253,"[0.0, 0.02040816326530612, 0.2653061224489796, 0.2653061224489796, 0.40816326530612246, 0.40816326530612246, 0.46938775510204084, 0.46938775510204084, 0.5510204081632653, 0.5510204081632653, 0.5714285714285714, 0.5714285714285714, 1.0]","[0.0, 0.0, 0.0, 0.2, 0.2, 0.4, 0.4, 0.6, 0.6, 0.8, 0.8, 1.0, 1.0]",6,0.591653034389333
Epat30,0.6086956521739131,0.8062015503875968,0.25,1.0,0.5813953488372092,0.5813953488372092,0.71610355,"[0.0, 0.0, 0.16279069767441862, 0.16279069767441862, 0.4186046511627907, 0.4186046511627907, 1.0]","[0.0, 0.3333333333333333, 0.3333333333333333, 0.6666666666666666, 0.6666666666666666, 1.0, 1.0]",6,0.6092143139121674
Epat31,0.896551724137931,0.8766233766233765,0.7692307692307693,0.7142857142857143,0.9545454545454546,0.6688311688311689,0.5798162,"[0.0, 0.0, 0.0, 0.045454545454545456, 0.045454545454545456, 0.3181818181818182, 0.3181818181818182, 0.4090909090909091, 0.4090909090909091, 1.0]","[0.0, 0.14285714285714285, 0.2857142857142857, 0.2857142857142857, 0.7142857142857143, 0.7142857142857143, 0.8571428571428571, 0.8571428571428571, 1.0, 1.0]",6,0.6157586243485523
Spat42,0.7619047619047619,0.878125,0.6666666666666666,1.0,0.6875,0.6875,0.4278937,"[0.0, 0.03125, 0.03125, 0.0625, 0.0625, 0.15625, 0.15625, 0.21875, 0.21875, 0.28125, 0.28125, 0.3125, 0.3125, 1.0]","[0.0, 0.0, 0.4, 0.4, 0.6, 0.6, 0.7, 0.7, 0.8, 0.8, 0.9, 0.9, 1.0, 1.0]",6,0.6332078761538408
Spat48,0.7543859649122807,0.4833887043189369,0.36363636363636365,0.2857142857142857,0.9069767441860466,0.1926910299003322,0.64480186,"[0.0, 0.023255813953488372, 0.046511627906976744, 0.046511627906976744, 0.06976744186046512, 0.06976744186046512, 0.09302325581395349, 0.09302325581395349, 0.23255813953488372, 0.23255813953488372, 0.3953488372093023, 0.3953488372093023, 0.4186046511627907, 0.4186046511627907, 0.8372093023255814, 0.8372093023255814, 0.9069767441860465, 0.9069767441860465, 0.9302325581395349, 0.9302325581395349, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.07142857142857142, 0.07142857142857142, 0.21428571428571427, 0.21428571428571427, 0.2857142857142857, 0.2857142857142857, 0.35714285714285715, 0.35714285714285715, 0.5, 0.5, 0.5714285714285714, 0.5714285714285714, 0.6428571428571429, 0.6428571428571429, 0.7857142857142857, 0.7857142857142857, 0.9285714285714286, 0.9285714285714286, 1.0]",6,0.5868208725596079
Epat35,0.4411764705882353,0.40625,0.17391304347826086,1.0,0.40625,0.40625,0.34198424,"[0.0, 0.03125, 0.59375, 0.59375, 1.0]","[0.0, 0.0, 0.0, 1.0, 1.0]",6,0.6155311106343756
Epat26,0.8113207547169812,0.28139534883720935,0.0,0.0,1.0,0.0,inf,"[0.0, 0.023255813953488372, 0.20930232558139536, 0.20930232558139536, 0.37209302325581395, 0.37209302325581395, 0.5581395348837209, 0.5581395348837209, 0.5813953488372093, 0.5813953488372093, 0.8372093023255814, 0.8372093023255814, 0.8604651162790697, 0.8604651162790697, 0.9534883720930233, 0.9534883720930233, 0.9767441860465116, 0.9767441860465116, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.1, 0.1, 0.2, 0.2, 0.3, 0.3, 0.4, 0.4, 0.6, 0.6, 0.7, 0.7, 0.8, 0.8, 0.9, 0.9, 1.0]",6,0.62619258328488
Spat49,0.8378378378378378,0.8428571428571427,0.4,1.0,0.8285714285714285,0.8285714285714285,0.6110239,"[0.0, 0.02857142857142857, 0.14285714285714285, 0.14285714285714285, 0.17142857142857143, 0.17142857142857143, 1.0]","[0.0, 0.0, 0.0, 0.5, 0.5, 1.0, 1.0]",6,0.6203725395365531
