,accuracy,auroc,f1,sensitivity,specificity,youden_index,optimal_threshold,fpr,tpr,best_epoch,train_loss
Spat41,0.8222222222222222,0.8383458646616541,0.5555555555555556,0.7142857142857143,0.8421052631578947,0.5563909774436091,0.5323888,"[0.0, 0.0, 0.0, 0.07894736842105263, 0.07894736842105263, 0.15789473684210525, 0.15789473684210525, 0.3684210526315789, 0.3684210526315789, 0.4473684210526316, 0.4473684210526316, 1.0]","[0.0, 0.14285714285714285, 0.2857142857142857, 0.2857142857142857, 0.5714285714285714, 0.5714285714285714, 0.7142857142857143, 0.7142857142857143, 0.8571428571428571, 0.8571428571428571, 1.0, 1.0]",6,0.4522678778042126
Spat37,0.62,0.6979166666666667,0.17391304347826086,1.0,0.6041666666666667,0.6041666666666667,0.7661926,"[0.0, 0.020833333333333332, 0.20833333333333334, 0.20833333333333334, 0.3958333333333333, 0.3958333333333333, 1.0]","[0.0, 0.0, 0.0, 0.5, 0.5, 1.0, 1.0]",6,0.47811631956856
Spat52,0.48148148148148145,0.6857142857142857,0.2631578947368421,1.0,0.4285714285714286,0.4285714285714286,0.4013587,"[0.0, 0.02040816326530612, 0.08163265306122448, 0.08163265306122448, 0.10204081632653061, 0.10204081632653061, 0.32653061224489793, 0.32653061224489793, 0.4897959183673469, 0.4897959183673469, 0.5714285714285714, 0.5714285714285714, 1.0]","[0.0, 0.0, 0.0, 0.2, 0.2, 0.4, 0.4, 0.6, 0.6, 0.8, 0.8, 1.0, 1.0]",6,0.43500372305810764
Epat30,0.8260869565217391,0.8992248062015504,0.42857142857142855,1.0,0.813953488372093,0.813953488372093,0.30331877,"[0.0, 0.0, 0.11627906976744186, 0.11627906976744186, 0.18604651162790697, 0.18604651162790697, 1.0]","[0.0, 0.3333333333333333, 0.3333333333333333, 0.6666666666666666, 0.6666666666666666, 1.0, 1.0]",6,0.4825926324510275
Epat31,0.9310344827586207,0.9805194805194805,0.875,1.0,0.9090909090909091,0.9090909090909091,0.45131537,"[0.0, 0.0, 0.0, 0.045454545454545456, 0.045454545454545456, 0.09090909090909091, 0.09090909090909091, 1.0]","[0.0, 0.14285714285714285, 0.7142857142857143, 0.7142857142857143, 0.8571428571428571, 0.8571428571428571, 1.0, 1.0]",6,0.5168508018923491
Spat42,0.9761904761904762,0.98125,0.9523809523809523,1.0,0.96875,0.96875,0.557676,"[0.0, 0.0, 0.0, 0.03125, 0.03125, 1.0]","[0.0, 0.1, 0.4, 0.4, 1.0, 1.0]",6,0.44785918721795454
Spat48,0.7894736842105263,0.7541528239202658,0.625,0.7142857142857143,0.813953488372093,0.5282392026578073,0.43706176,"[0.0, 0.0, 0.0, 0.09302325581395349, 0.09302325581395349, 0.11627906976744186, 0.11627906976744186, 0.13953488372093023, 0.13953488372093023, 0.16279069767441862, 0.16279069767441862, 0.18604651162790697, 0.18604651162790697, 0.32558139534883723, 0.32558139534883723, 0.5581395348837209, 0.5581395348837209, 0.6744186046511628, 0.6744186046511628, 1.0, 1.0]","[0.0, 0.07142857142857142, 0.2857142857142857, 0.2857142857142857, 0.35714285714285715, 0.35714285714285715, 0.42857142857142855, 0.42857142857142855, 0.5, 0.5, 0.5714285714285714, 0.5714285714285714, 0.7142857142857143, 0.7142857142857143, 0.7857142857142857, 0.7857142857142857, 0.8571428571428571, 0.8571428571428571, 0.9285714285714286, 0.9285714285714286, 1.0]",6,0.4524684541447218
Epat35,0.8529411764705882,0.875,0.4444444444444444,1.0,0.84375,0.84375,0.68974286,"[0.0, 0.03125, 0.09375, 0.09375, 0.15625, 0.15625, 1.0]","[0.0, 0.0, 0.0, 0.5, 0.5, 1.0, 1.0]",6,0.46533235806060647
Epat26,0.8490566037735849,0.9186046511627908,0.6923076923076923,0.9,0.8372093023255813,0.7372093023255815,0.5855184,"[0.0, 0.0, 0.0, 0.046511627906976744, 0.046511627906976744, 0.06976744186046512, 0.06976744186046512, 0.11627906976744186, 0.11627906976744186, 0.16279069767441862, 0.16279069767441862, 0.3023255813953488, 0.3023255813953488, 1.0]","[0.0, 0.1, 0.4, 0.4, 0.5, 0.5, 0.6, 0.6, 0.8, 0.8, 0.9, 0.9, 1.0, 1.0]",6,0.49853625877907404
Spat49,0.8378378378378378,0.8285714285714285,0.4,1.0,0.8285714285714285,0.8285714285714285,0.28499007,"[0.0, 0.02857142857142857, 0.17142857142857143, 0.17142857142857143, 1.0]","[0.0, 0.0, 0.0, 1.0, 1.0]",6,0.46503336292616326
